machine_id,sequence_id,wrow,wcol,scan_position,tag,rlu,rlu.rq,timestamp,filename,plate_number,types,sample_id,dilution,bleed,treatment,virus,experiment_id,neutralisation,exclude
1234567,0,F,12,NA,NA,  798900,ValidSlopeSaturation,NA,NA, 1,m,mAb (4F8),16000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,  85.26115856,FALSE
1234567,0,G, 1,NA,NA,     320,ValidSlopeSaturation,NA,NA, 1,c,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001, 100.00166126,FALSE
1234567,0,G, 2,NA,NA, 6263000,ValidSlopeSaturation,NA,NA, 1,x,Mouse 1, 2560,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001, -15.59734125,FALSE
1234567,0,G, 3,NA,NA, 6427000,ValidSlopeSaturation,NA,NA, 1,x,Mouse 1, 2560,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001, -18.62451754,FALSE
1234567,0,G, 4,NA,NA, 6542000,ValidSlopeSaturation,NA,NA, 1,x,Mouse 2, 2560,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001, -20.74723263,FALSE
1234567,0,G, 5,NA,NA, 6226000,ValidSlopeSaturation,NA,NA, 1,x,Mouse 2, 2560,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001, -14.91438075,FALSE
1234567,0,G, 6,NA,NA, 6224000,ValidSlopeSaturation,NA,NA, 1,x,Mouse 3, 2560,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001, -14.87746396,FALSE
1234567,0,G, 7,NA,NA, 6557000,ValidSlopeSaturation,NA,NA, 1,x,Mouse 3, 2560,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001, -21.02410851,FALSE
1234567,0,G, 8,NA,NA,NA,ValidSlopeSaturation,NA,NA, 1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,G, 9,NA,NA,NA,ValidSlopeSaturation,NA,NA, 1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,G,10,NA,NA,NA,ValidSlopeSaturation,NA,NA, 1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,G,11,NA,NA,NA,ValidSlopeSaturation,NA,NA, 1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,G,12,NA,NA, 1262000,ValidSlopeSaturation,NA,NA, 1,m,mAb (4F8),32000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,  76.71307722,FALSE
1234567,0,H, 1,NA,NA,     410,ValidSlopeSaturation,NA,NA, 1,c,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001, 100.00000000,FALSE
