wrow,wcol,rlu,filename,plate_number,types,sample_id,dilution,bleed,treatment,virus,experiment_id,neutralisation,exclude
D,4,693800,NA,2,x,Mouse 5,320,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-23.96525842,FALSE
D,5,640700,NA,2,x,Mouse 5,320,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-14.47565945,FALSE
D,6,682400,NA,2,x,Mouse 6,320,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-21.92794338,FALSE
D,7,779800,NA,2,x,Mouse 6,320,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-39.33447709,FALSE
D,8,749100,NA,2,x,Mouse 7,320,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-33.84802345,FALSE
D,9,501100,NA,2,x,Mouse 7,320,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,10.47251412,FALSE
D,10,NA,NA,2,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
D,11,NA,NA,2,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
D,12,220,NA,2,m,mAb (4F8),4000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,99.98570305,FALSE
E,1,559700,NA,2,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,0.00000000,FALSE
E,2,657600,NA,2,x,Mouse 4,640,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-17.49588963,FALSE
E,3,625100,NA,2,x,Mouse 4,640,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-11.68775466,FALSE
E,4,570200,NA,2,x,Mouse 5,640,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-1.87647437,FALSE
E,5,595700,NA,2,x,Mouse 5,640,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-6.43362642,FALSE
E,6,752100,NA,2,x,Mouse 6,640,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-34.38415898,FALSE
E,7,622000,NA,2,x,Mouse 6,640,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-11.13374794,FALSE
E,8,736000,NA,2,x,Mouse 7,640,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-31.50689828,FALSE
E,9,758500,NA,2,x,Mouse 7,640,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-35.52791479,FALSE
E,10,NA,NA,2,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
E,11,NA,NA,2,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
E,12,280,NA,2,m,mAb (4F8),8000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,99.97498034,FALSE
F,1,230,NA,2,c,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,99.98391593,FALSE
F,2,773000,NA,2,x,Mouse 4,1280,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-38.11923654,FALSE
F,3,666200,NA,2,x,Mouse 4,1280,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-19.03281149,FALSE
F,4,735400,NA,2,x,Mouse 5,1280,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-31.39967117,FALSE
F,5,663000,NA,2,x,Mouse 5,1280,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-18.46093359,FALSE
F,6,608300,NA,2,x,Mouse 6,1280,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-8.68539567,FALSE
F,7,710800,NA,2,x,Mouse 6,1280,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-27.00335978,FALSE
F,8,752400,NA,2,x,Mouse 7,1280,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-34.43777254,FALSE
F,9,760400,NA,2,x,Mouse 7,1280,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-35.86746730,FALSE
F,10,NA,NA,2,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
F,11,NA,NA,2,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
F,12,32410,NA,2,m,mAb (4F8),16000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,94.23296876,FALSE
G,1,140,NA,2,c,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,100.00000000,FALSE
G,2,860900,NA,2,x,Mouse 4,2560,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-53.82800772,FALSE
G,3,617100,NA,2,x,Mouse 4,2560,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-10.25805990,FALSE
G,4,671300,NA,2,x,Mouse 5,2560,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-19.94424190,FALSE
G,5,689000,NA,2,x,Mouse 5,2560,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-23.10744156,FALSE
G,6,748900,NA,2,x,Mouse 6,2560,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-33.81228108,FALSE
G,7,783300,NA,2,x,Mouse 6,2560,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-39.95996855,FALSE
G,8,773800,NA,2,x,Mouse 7,2560,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-38.26220602,FALSE
G,9,876300,NA,2,x,Mouse 7,2560,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-56.58017013,FALSE
G,10,NA,NA,2,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
G,11,NA,NA,2,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
G,12,146500,NA,2,m,mAb (4F8),32000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,73.84373436,FALSE
H,1,90,NA,2,c,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,100.00893559,FALSE
H,2,585600,NA,2,x,Mouse 4,5120,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-4.62863679,FALSE
H,3,593100,NA,2,x,Mouse 4,5120,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-5.96897562,FALSE
H,4,739800,NA,2,x,Mouse 5,5120,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-32.18600329,FALSE
H,5,587400,NA,2,x,Mouse 5,5120,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-4.95031811,FALSE
H,6,691300,NA,2,x,Mouse 6,5120,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-23.51847880,FALSE
H,7,823400,NA,2,x,Mouse 6,5120,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-47.12631353,FALSE
H,8,822500,NA,2,x,Mouse 7,5120,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-46.96547287,FALSE
H,9,560600,NA,2,x,Mouse 7,5120,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,-0.16084066,FALSE
H,10,NA,NA,2,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
H,11,NA,NA,2,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
H,12,217800,NA,2,m,mAb (4F8),64000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,61.10157981,FALSE
A,1,568200,NA,3,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,7.12802655,FALSE
A,2,362100,NA,3,x,Mouse 8,40,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,40.82266582,FALSE
A,3,469100,NA,3,x,Mouse 8,40,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,23.32957314,FALSE
A,4,383500,NA,3,x,Mouse 9,40,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,37.32404728,FALSE
A,5,323500,NA,3,x,Mouse 9,40,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,47.13325813,FALSE
A,6,377800,NA,3,x,Mouse 10,40,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,38.25592231,FALSE
A,7,315400,NA,3,x,Mouse 10,40,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,48.45750159,FALSE
A,8,447500,NA,3,x,Mouse 11,40,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,26.86088904,FALSE
A,9,145900,NA,3,x,Mouse 11,40,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,76.16852224,FALSE
A,10,313200,NA,3,x,Mouse 12,40,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,48.81717266,FALSE
A,11,404000,NA,3,x,Mouse 12,40,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,33.97256691,FALSE
A,12,80,NA,3,m,mAb (4F8),500,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,100.00817434,FALSE
B,1,679700,NA,3,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,-11.10075694,FALSE
